,Team,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Opp FG,Opp FGA,Opp FG%,Opp 2P,Opp 2PA,Opp 2P%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp DRB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Opp PTS,gameid,Win?
4604,central-connecticut-state,225,31,66,0.47,17,41,0.415,14,25,0.56,8,11,0.727,12,26,38,15,8,3,18,21,84,29,64,0.453,22,39,0.564,7,25,0.28,18,24,0.75,10,19,29,8,10,6,12,15,83,1212017103,0
4605,saint-francis-pa,225,29,64,0.453,22,39,0.564,7,25,0.28,18,24,0.75,10,19,29,8,10,6,12,15,83,31,66,0.47,17,41,0.415,14,25,0.56,8,11,0.727,12,26,38,15,8,3,18,21,84,1212017103,1
4606,pennsylvania,200,27,63,0.429,19,31,0.613,8,32,0.25,9,15,0.6,10,24,34,14,3,2,11,32,71,21,51,0.412,16,32,0.5,5,19,0.263,31,43,0.721,9,26,35,8,3,3,6,20,78,1212017104,1
4607,saint-josephs,200,21,51,0.412,16,32,0.5,5,19,0.263,31,43,0.721,9,26,35,8,3,3,6,20,78,27,63,0.429,19,31,0.613,8,32,0.25,9,15,0.6,10,24,34,14,3,2,11,32,71,1212017104,0
4608,pepperdine,200,27,59,0.458,20,40,0.5,7,19,0.368,4,8,0.5,4,17,21,9,5,1,9,20,65,33,58,0.569,26,40,0.65,7,18,0.389,12,18,0.667,9,28,37,17,6,3,8,11,85,1212017105,1
4609,saint-marys-ca,200,33,58,0.569,26,40,0.65,7,18,0.389,12,18,0.667,9,28,37,17,6,3,8,11,85,27,59,0.458,20,40,0.5,7,19,0.368,4,8,0.5,4,17,21,9,5,1,9,20,65,1212017105,0
4610,niagara,200,19,55,0.345,9,31,0.29,10,24,0.417,9,16,0.563,6,26,32,13,3,8,8,18,57,18,54,0.333,10,30,0.333,8,24,0.333,11,13,0.846,8,29,37,9,6,2,11,16,55,1212017106,0
4611,saint-peters,200,18,54,0.333,10,30,0.333,8,24,0.333,11,13,0.846,8,29,37,9,6,2,11,16,55,19,55,0.345,9,31,0.29,10,24,0.417,9,16,0.563,6,26,32,13,3,8,8,18,57,1212017106,1
4612,texas-am-corpus-christi,200,21,55,0.382,17,35,0.486,4,20,0.2,16,25,0.64,7,18,25,7,8,0,11,26,62,26,46,0.565,20,33,0.606,6,13,0.462,18,29,0.621,6,28,34,16,7,5,18,24,76,1212017107,1
4613,sam-houston-state,200,26,46,0.565,20,33,0.606,6,13,0.462,18,29,0.621,6,28,34,16,7,5,18,24,76,21,55,0.382,17,35,0.486,4,20,0.2,16,25,0.64,7,18,25,7,8,0,11,26,62,1212017107,0
4614,san-francisco,200,25,51,0.49,18,32,0.563,7,19,0.368,3,6,0.5,2,25,27,13,3,4,10,20,60,16,51,0.314,15,34,0.441,1,17,0.059,10,18,0.556,9,25,34,9,1,1,13,13,43,1212017108,0
4615,san-diego,200,16,51,0.314,15,34,0.441,1,17,0.059,10,18,0.556,9,25,34,9,1,1,13,13,43,25,51,0.49,18,32,0.563,7,19,0.368,3,6,0.5,2,25,27,13,3,4,10,20,60,1212017108,1
4616,boise-state,200,22,44,0.5,17,27,0.63,5,17,0.294,26,35,0.743,4,26,30,7,2,0,17,22,75,23,57,0.404,22,44,0.5,1,13,0.077,18,26,0.692,5,17,22,8,5,0,10,23,65,1212017109,0
4617,san-jose-state,200,23,57,0.404,22,44,0.5,1,13,0.077,18,26,0.692,5,17,22,8,5,0,10,23,65,22,44,0.5,17,27,0.63,5,17,0.294,26,35,0.743,4,26,30,7,2,0,17,22,75,1212017109,1
4618,loyola-marymount,200,22,48,0.458,13,30,0.433,9,18,0.5,10,16,0.625,5,22,27,15,10,2,16,15,63,24,47,0.511,15,24,0.625,9,23,0.391,7,9,0.778,3,21,24,19,9,1,15,18,64,1212017110,1
4619,santa-clara,200,24,47,0.511,15,24,0.625,9,23,0.391,7,9,0.778,3,21,24,19,9,1,15,18,64,22,48,0.458,13,30,0.433,9,18,0.5,10,16,0.625,5,22,27,15,10,2,16,15,63,1212017110,0
4620,morgan-state,200,20,58,0.345,15,33,0.455,5,25,0.2,16,24,0.667,8,23,31,9,4,4,19,22,61,29,63,0.46,25,36,0.694,4,27,0.148,12,21,0.571,9,26,35,18,12,1,17,21,74,1212017111,1
4621,savannah-state,200,29,63,0.46,25,36,0.694,4,27,0.148,12,21,0.571,9,26,35,18,12,1,17,21,74,20,58,0.345,15,33,0.455,5,25,0.2,16,24,0.667,8,23,31,9,4,4,19,22,61,1212017111,0
4622,delaware-state,200,23,58,0.397,17,39,0.436,6,19,0.316,12,20,0.6,11,21,32,13,3,3,14,16,64,28,54,0.519,22,34,0.647,6,20,0.3,12,18,0.667,7,22,29,15,3,5,14,16,74,1212017112,1
4623,south-carolina-state,200,28,54,0.519,22,34,0.647,6,20,0.3,12,18,0.667,7,22,29,15,3,5,14,16,74,23,58,0.397,17,39,0.436,6,19,0.316,12,20,0.6,11,21,32,13,3,3,14,16,64,1212017112,0
4624,ipfw,200,27,62,0.435,20,41,0.488,7,21,0.333,6,8,0.75,6,20,26,10,7,2,6,15,67,25,54,0.463,8,18,0.444,17,36,0.472,10,18,0.556,10,28,38,20,5,2,12,11,77,1212017113,1
4625,south-dakota-state,200,25,54,0.463,8,18,0.444,17,36,0.472,10,18,0.556,10,28,38,20,5,2,12,11,77,27,62,0.435,20,41,0.488,7,21,0.333,6,8,0.75,6,20,26,10,7,2,6,15,67,1212017113,0
4626,tulsa,200,23,48,0.479,15,27,0.556,8,21,0.381,25,38,0.658,6,30,36,10,4,4,16,23,79,22,60,0.367,15,38,0.395,7,22,0.318,16,23,0.696,6,22,28,13,4,2,16,30,67,1212017114,0
4627,south-florida,200,22,60,0.367,15,38,0.395,7,22,0.318,16,23,0.696,6,22,28,13,4,2,16,30,67,23,48,0.479,15,27,0.556,8,21,0.381,25,38,0.658,6,30,36,10,4,4,16,23,79,1212017114,1
4628,eastern-illinois,200,26,64,0.406,21,42,0.5,5,22,0.227,14,16,0.875,10,20,30,9,2,2,15,22,71,28,58,0.483,19,38,0.5,9,20,0.45,18,26,0.692,11,24,35,14,8,4,15,20,83,1212017115,1
4629,southeast-missouri-state,200,28,58,0.483,19,38,0.5,9,20,0.45,18,26,0.692,11,24,35,14,8,4,15,20,83,26,64,0.406,21,42,0.5,5,22,0.227,14,16,0.875,10,20,30,9,2,2,15,22,71,1212017115,0
4630,houston-baptist,200,26,60,0.433,18,37,0.486,8,23,0.348,11,13,0.846,8,21,29,11,4,2,14,22,71,28,56,0.5,18,38,0.474,10,18,0.556,17,23,0.739,9,25,34,17,8,7,13,18,83,1212017116,1
4631,southeastern-louisiana,200,28,56,0.5,18,38,0.474,10,18,0.556,17,23,0.739,9,25,34,17,8,7,13,18,83,26,60,0.433,18,37,0.486,8,23,0.348,11,13,0.846,8,21,29,11,4,2,14,22,71,1212017116,0
4632,northern-iowa,200,21,45,0.467,13,23,0.565,8,22,0.364,8,10,0.8,5,24,29,6,1,3,10,10,58,22,57,0.386,15,34,0.441,7,23,0.304,6,10,0.6,10,21,31,9,7,1,4,11,57,1212017117,0
4633,southern-illinois,200,22,57,0.386,15,34,0.441,7,23,0.304,6,10,0.6,10,21,31,9,7,1,4,11,57,21,45,0.467,13,23,0.565,8,22,0.364,8,10,0.8,5,24,29,6,1,3,10,10,58,1212017117,1
4634,houston,200,22,55,0.4,8,22,0.364,14,33,0.424,6,9,0.667,8,12,20,18,3,2,14,16,64,30,53,0.566,17,26,0.654,13,27,0.481,12,14,0.857,9,24,33,25,9,2,13,13,85,1212017118,1
4635,southern-methodist,200,30,53,0.566,17,26,0.654,13,27,0.481,12,14,0.857,9,24,33,25,9,2,13,13,85,22,55,0.4,8,22,0.364,14,33,0.424,6,9,0.667,8,12,20,18,3,2,14,16,64,1212017118,0
4636,rice,200,18,49,0.367,11,27,0.407,7,22,0.318,18,26,0.692,5,24,29,8,5,2,12,17,61,20,51,0.392,17,36,0.472,3,15,0.2,15,20,0.75,6,29,35,12,4,1,15,21,58,1212017119,0
4637,southern-mississippi,200,20,51,0.392,17,36,0.472,3,15,0.2,15,20,0.75,6,29,35,12,4,1,15,21,58,18,49,0.367,11,27,0.407,7,22,0.318,18,26,0.692,5,24,29,8,5,2,12,17,61,1212017119,1
4638,mount-st-marys,200,21,48,0.438,15,31,0.484,6,17,0.353,7,14,0.5,10,27,37,5,5,6,16,10,55,19,61,0.311,14,42,0.333,5,19,0.263,4,8,0.5,12,19,31,4,8,0,10,16,47,1212017120,0
4639,st-francis-ny,200,19,61,0.311,14,42,0.333,5,19,0.263,4,8,0.5,12,19,31,4,8,0,10,16,47,21,48,0.438,15,31,0.484,6,17,0.353,7,14,0.5,10,27,37,5,5,6,16,10,55,1212017120,1
4640,south-carolina-upstate,200,29,56,0.518,20,32,0.625,9,24,0.375,30,35,0.857,9,26,35,15,1,2,10,17,97,30,61,0.492,20,33,0.606,10,28,0.357,16,19,0.842,7,20,27,15,1,1,11,28,86,1212017121,0
4641,stetson,200,30,61,0.492,20,33,0.606,10,28,0.357,16,19,0.842,7,20,27,15,1,1,11,28,86,29,56,0.518,20,32,0.625,9,24,0.375,30,35,0.857,9,26,35,15,1,2,10,17,97,1212017121,1
4642,mississippi-state,200,26,59,0.441,21,39,0.538,5,20,0.25,17,28,0.607,9,25,34,11,4,4,11,24,74,31,67,0.463,24,50,0.48,7,17,0.412,22,37,0.595,17,28,45,20,4,5,6,18,91,1212017122,1
4643,tennessee,200,31,67,0.463,24,50,0.48,7,17,0.412,22,37,0.595,17,28,45,20,4,5,6,18,91,26,59,0.441,21,39,0.538,5,20,0.25,17,28,0.607,9,25,34,11,4,4,11,24,74,1212017122,0
4644,southern-illinois-edwardsville,200,21,57,0.368,16,34,0.471,5,23,0.217,20,24,0.833,8,20,28,11,2,0,13,26,67,25,51,0.49,18,28,0.643,7,23,0.304,18,26,0.692,6,23,29,15,2,7,13,22,75,1212017123,1
4645,tennessee-martin,200,25,51,0.49,18,28,0.643,7,23,0.304,18,26,0.692,6,23,29,15,2,7,13,22,75,21,57,0.368,16,34,0.471,5,23,0.217,20,24,0.833,8,20,28,11,2,0,13,26,67,1212017123,0
4646,jacksonville-state,200,24,39,0.615,13,24,0.542,11,15,0.733,27,33,0.818,6,18,24,16,4,7,15,22,86,27,61,0.443,20,44,0.455,7,17,0.412,18,23,0.783,12,10,22,17,5,0,12,26,79,1212017124,0
4647,tennessee-state,200,27,61,0.443,20,44,0.455,7,17,0.412,18,23,0.783,12,10,22,17,5,0,12,26,79,24,39,0.615,13,24,0.542,11,15,0.733,27,33,0.818,6,18,24,16,4,7,15,22,86,1212017124,1
4648,georgia,200,22,52,0.423,16,41,0.39,6,11,0.545,12,14,0.857,6,27,33,15,5,3,17,24,62,21,58,0.362,14,39,0.359,7,19,0.368,14,27,0.519,14,20,34,14,11,4,11,18,63,1212017125,1
4649,texas-am,200,21,58,0.362,14,39,0.359,7,19,0.368,14,27,0.519,14,20,34,14,11,4,11,18,63,22,52,0.423,16,41,0.39,6,11,0.545,12,14,0.857,6,27,33,15,5,3,17,24,62,1212017125,0
4650,louisiana-monroe,200,19,57,0.333,10,25,0.4,9,32,0.281,8,13,0.615,10,22,32,14,4,2,19,10,55,29,68,0.426,22,44,0.5,7,24,0.292,6,6,1,14,26,40,13,13,4,12,14,71,1212017126,1
4651,texas-arlington,200,29,68,0.426,22,44,0.5,7,24,0.292,6,6,1,14,26,40,13,13,4,12,14,71,19,57,0.333,10,25,0.4,9,32,0.281,8,13,0.615,10,22,32,14,4,2,19,10,55,1212017126,0
4652,baylor,200,23,54,0.426,17,34,0.5,6,20,0.3,10,15,0.667,10,21,31,12,4,1,10,18,62,17,58,0.293,11,33,0.333,6,25,0.24,13,19,0.684,15,21,36,12,5,4,5,16,53,1212017127,0
4653,texas-christian,200,17,58,0.293,11,33,0.333,6,25,0.24,13,19,0.684,15,21,36,12,5,4,5,16,53,23,54,0.426,17,34,0.5,6,20,0.3,10,15,0.667,10,21,31,12,4,1,10,18,62,1212017127,1
4654,texas-san-antonio,200,14,58,0.241,12,36,0.333,2,22,0.091,9,18,0.5,9,24,33,7,3,0,12,21,39,22,47,0.468,17,32,0.531,5,15,0.333,10,19,0.526,4,37,41,8,2,3,13,18,59,1212017128,1
4655,texas-el-paso,200,22,47,0.468,17,32,0.531,5,15,0.333,10,19,0.526,4,37,41,8,2,3,13,18,59,14,58,0.241,12,36,0.333,2,22,0.091,9,18,0.5,9,24,33,7,3,0,12,21,39,1212017128,0
4656,chicago-state,225,30,61,0.492,23,43,0.535,7,18,0.389,10,15,0.667,8,29,37,18,2,0,25,22,77,27,69,0.391,16,34,0.471,11,35,0.314,20,25,0.8,12,23,35,20,14,3,15,18,85,1212017129,1
4657,texas-pan-american,225,27,69,0.391,16,34,0.471,11,35,0.314,20,25,0.8,12,23,35,20,14,3,15,18,85,30,61,0.492,23,43,0.535,7,18,0.389,10,15,0.667,8,29,37,18,2,0,25,22,77,1212017129,0
4658,louisiana-lafayette,200,26,48,0.542,19,35,0.543,7,13,0.538,20,23,0.87,7,29,36,12,4,6,16,11,79,30,70,0.429,21,45,0.467,9,25,0.36,4,9,0.444,11,17,28,18,7,2,8,17,73,1212017130,0
4659,texas-state,200,30,70,0.429,21,45,0.467,9,25,0.36,4,9,0.444,11,17,28,18,7,2,8,17,73,26,48,0.542,19,35,0.543,7,13,0.538,20,23,0.87,7,29,36,12,4,6,16,11,79,1212017130,1
4660,oklahoma-state,200,22,40,0.55,11,24,0.458,11,16,0.688,28,37,0.757,10,19,29,12,7,2,17,28,83,20,45,0.444,13,24,0.542,7,21,0.333,17,25,0.68,7,10,17,9,5,2,15,28,64,1212017131,0
4661,texas-tech,200,20,45,0.444,13,24,0.542,7,21,0.333,17,25,0.68,7,10,17,9,5,2,15,28,64,22,40,0.55,11,24,0.458,11,16,0.688,28,37,0.757,10,19,29,12,7,2,17,28,83,1212017131,1
4662,cincinnati,200,31,55,0.564,21,32,0.656,10,23,0.435,6,11,0.545,8,20,28,14,6,2,15,23,78,21,46,0.457,17,31,0.548,4,15,0.267,15,22,0.682,5,15,20,9,4,1,15,14,61,1212017132,0
4663,tulane,200,21,46,0.457,17,31,0.548,4,15,0.267,15,22,0.682,5,15,20,9,4,1,15,14,61,31,55,0.564,21,32,0.656,10,23,0.435,6,11,0.545,8,20,28,14,6,2,15,23,78,1212017132,1
4664,arizona,200,34,68,0.5,25,48,0.521,9,20,0.45,19,21,0.905,9,28,37,15,4,1,7,16,96,32,71,0.451,22,40,0.55,10,31,0.323,11,14,0.786,9,22,31,18,4,6,6,19,85,1212017133,0
4665,ucla,200,32,71,0.451,22,40,0.55,10,31,0.323,11,14,0.786,9,22,31,18,4,6,6,19,85,34,68,0.5,25,48,0.521,9,20,0.45,19,21,0.905,9,28,37,15,4,1,7,16,96,1212017133,1
4666,colorado-state,200,24,56,0.429,20,43,0.465,4,13,0.308,12,17,0.706,11,28,39,7,5,4,11,17,64,22,60,0.367,19,41,0.463,3,19,0.158,9,17,0.529,10,23,33,8,4,4,12,18,56,1212017134,0
4667,utah-state,200,22,60,0.367,19,41,0.463,3,19,0.158,9,17,0.529,10,23,33,8,4,4,12,18,56,24,56,0.429,20,43,0.465,4,13,0.308,12,17,0.706,11,28,39,7,5,4,11,17,64,1212017134,1
4668,providence,200,22,50,0.44,9,24,0.375,13,26,0.5,11,13,0.846,4,17,21,16,4,1,12,14,68,30,58,0.517,23,41,0.561,7,17,0.412,11,11,1,8,21,29,19,8,5,10,14,78,1212017135,1
4669,villanova,200,30,58,0.517,23,41,0.561,7,17,0.412,11,11,1,8,21,29,19,8,5,10,14,78,22,50,0.44,9,24,0.375,13,26,0.5,11,13,0.846,4,17,21,16,4,1,12,14,68,1212017135,0
4670,georgia-tech,200,19,42,0.452,15,33,0.455,4,9,0.444,7,12,0.583,2,21,23,11,9,1,13,15,49,22,48,0.458,17,26,0.654,5,22,0.227,13,17,0.765,6,22,28,13,6,3,11,14,62,1212017136,1
4671,virginia,200,22,48,0.458,17,26,0.654,5,22,0.227,13,17,0.765,6,22,28,13,6,3,11,14,62,19,42,0.452,15,33,0.455,4,9,0.444,7,12,0.583,2,21,23,11,9,1,13,15,49,1212017136,0
4672,utah,200,39,65,0.6,32,53,0.604,7,12,0.583,9,16,0.563,9,29,38,15,4,2,8,21,94,25,67,0.373,15,39,0.385,10,28,0.357,12,24,0.5,11,18,29,9,1,5,7,17,72,1212017137,0
4673,washington,200,25,67,0.373,15,39,0.385,10,28,0.357,12,24,0.5,11,18,29,9,1,5,7,17,72,39,65,0.6,32,53,0.604,7,12,0.583,9,16,0.563,9,29,38,15,4,2,8,21,94,1212017137,1
4674,colorado,225,32,67,0.478,26,46,0.565,6,21,0.286,19,22,0.864,10,27,37,17,2,5,12,18,89,35,65,0.538,22,39,0.564,13,26,0.5,8,13,0.615,6,21,27,17,7,5,9,19,91,1212017138,1
4675,washington-state,225,35,65,0.538,22,39,0.564,13,26,0.5,8,13,0.615,6,21,27,17,7,5,9,19,91,32,67,0.478,26,46,0.565,6,21,0.286,19,22,0.864,10,27,37,17,2,5,12,18,89,1212017138,0
4676,mercer,200,23,46,0.5,12,22,0.545,11,24,0.458,11,19,0.579,7,27,34,14,2,2,16,20,68,16,51,0.314,14,34,0.412,2,17,0.118,16,21,0.762,8,14,22,6,6,1,9,19,50,1212017139,0
4677,western-carolina,200,16,51,0.314,14,34,0.412,2,17,0.118,16,21,0.762,8,14,22,6,6,1,9,19,50,23,46,0.5,12,22,0.545,11,24,0.458,11,19,0.579,7,27,34,14,2,2,16,20,68,1212017139,1
4678,north-dakota-state,200,32,57,0.561,19,41,0.463,13,16,0.813,12,20,0.6,2,36,38,19,7,3,10,14,89,22,58,0.379,14,35,0.4,8,23,0.348,5,8,0.625,1,24,25,11,4,5,14,17,57,1212017140,0
4679,western-illinois,200,22,58,0.379,14,35,0.4,8,23,0.348,5,8,0.625,1,24,25,11,4,5,14,17,57,32,57,0.561,19,41,0.463,13,16,0.813,12,20,0.6,2,36,38,19,7,3,10,14,89,1212017140,1
4680,indiana-state,200,20,60,0.333,15,37,0.405,5,23,0.217,13,18,0.722,6,27,33,11,0,3,15,30,58,24,54,0.444,18,35,0.514,6,19,0.316,30,41,0.732,6,32,38,17,6,5,6,19,84,1212017141,1
4681,wichita-state,200,24,54,0.444,18,35,0.514,6,19,0.316,30,41,0.732,6,32,38,17,6,5,6,19,84,20,60,0.333,15,37,0.405,5,23,0.217,13,18,0.722,6,27,33,11,0,3,15,30,58,1212017141,0
4682,maine,200,23,51,0.451,17,37,0.459,6,14,0.429,11,20,0.55,4,19,23,13,6,2,14,17,63,30,55,0.545,26,41,0.634,4,14,0.286,17,22,0.773,8,24,32,16,8,4,10,17,81,12220171,1
4683,albany-ny,200,30,55,0.545,26,41,0.634,4,14,0.286,17,22,0.773,8,24,32,16,8,4,10,17,81,23,51,0.451,17,37,0.459,6,14,0.429,11,20,0.55,4,19,23,13,6,2,14,17,63,12220171,0
4684,stony-brook,200,24,51,0.471,13,25,0.52,11,26,0.423,8,10,0.8,5,19,24,15,6,5,10,16,67,27,55,0.491,18,31,0.581,9,24,0.375,8,11,0.727,7,19,26,13,4,2,12,14,71,12220172,1
4685,binghamton,200,27,55,0.491,18,31,0.581,9,24,0.375,8,11,0.727,7,19,26,13,4,2,12,14,71,24,51,0.471,13,25,0.52,11,26,0.423,8,10,0.8,5,19,24,15,6,5,10,16,67,12220172,0
4686,virginia-tech,200,29,53,0.547,21,32,0.656,8,21,0.381,16,17,0.941,5,25,30,12,4,2,12,10,82,31,64,0.484,18,37,0.486,13,27,0.481,6,11,0.545,9,20,29,22,7,5,9,18,81,12220173,0
4687,clemson,200,31,64,0.484,18,37,0.486,13,27,0.481,6,11,0.545,9,20,29,22,7,5,9,18,81,29,53,0.547,21,32,0.656,8,21,0.381,16,17,0.941,5,25,30,12,4,2,12,10,82,12220173,1
4688,east-carolina,200,26,69,0.377,17,42,0.405,9,27,0.333,4,8,0.5,15,17,32,12,5,4,8,16,65,27,50,0.54,24,41,0.585,3,9,0.333,15,20,0.75,6,29,35,13,3,9,12,11,72,12220174,1
4689,connecticut,200,27,50,0.54,24,41,0.585,3,9,0.333,15,20,0.75,6,29,35,13,3,9,12,11,72,26,69,0.377,17,42,0.405,9,27,0.333,4,8,0.5,15,17,32,12,5,4,8,16,65,12220174,0
4690,saint-louis,200,15,50,0.3,12,31,0.387,3,19,0.158,13,17,0.765,7,23,30,8,4,2,14,20,46,20,47,0.426,10,23,0.435,10,24,0.417,17,21,0.81,4,27,31,15,6,7,10,19,67,12220175,1
4691,dayton,200,20,47,0.426,10,23,0.435,10,24,0.417,17,21,0.81,4,27,31,15,6,7,10,19,67,15,50,0.3,12,31,0.387,3,19,0.158,13,17,0.765,7,23,30,8,4,2,14,20,46,12220175,0
4692,wofford,200,23,51,0.451,14,31,0.452,9,20,0.45,17,19,0.895,7,14,21,11,9,1,17,18,72,30,52,0.577,24,35,0.686,6,17,0.353,13,18,0.722,9,19,28,11,7,7,18,17,79,12220176,1
4693,east-tennessee-state,200,30,52,0.577,24,35,0.686,6,17,0.353,13,18,0.722,9,19,28,11,7,7,18,17,79,23,51,0.451,14,31,0.452,9,20,0.45,17,19,0.895,7,14,21,11,9,1,17,18,72,12220176,0
4694,new-hampshire,200,30,54,0.556,20,33,0.606,10,21,0.476,11,18,0.611,8,26,34,18,6,3,13,14,81,23,60,0.383,18,39,0.462,5,21,0.238,5,16,0.313,7,19,26,9,9,3,12,16,56,12220177,0
4695,hartford,200,23,60,0.383,18,39,0.462,5,21,0.238,5,16,0.313,7,19,26,9,9,3,12,16,56,30,54,0.556,20,33,0.606,10,21,0.476,11,18,0.611,8,26,34,18,6,3,13,14,81,12220177,1
4696,siena,200,27,55,0.491,22,44,0.5,5,11,0.455,22,26,0.846,10,21,31,17,6,4,16,24,81,20,53,0.377,16,37,0.432,4,16,0.25,24,31,0.774,9,18,27,11,9,4,17,23,68,12220178,0
4697,manhattan,200,20,53,0.377,16,37,0.432,4,16,0.25,24,31,0.774,9,18,27,11,9,4,17,23,68,27,55,0.491,22,44,0.5,5,11,0.455,22,26,0.846,10,21,31,17,6,4,16,24,81,12220178,1
4698,maryland-baltimore-county,200,35,66,0.53,24,38,0.632,11,28,0.393,21,27,0.778,9,22,31,23,9,2,6,17,102,30,57,0.526,21,36,0.583,9,21,0.429,17,22,0.773,5,23,28,22,2,0,12,17,86,12220179,0
4699,massachusetts-lowell,200,30,57,0.526,21,36,0.583,9,21,0.429,17,22,0.773,5,23,28,22,2,0,12,17,86,35,66,0.53,24,38,0.632,11,28,0.393,21,27,0.778,9,22,31,23,9,2,6,17,102,12220179,1
4700,central-florida,200,23,57,0.404,15,36,0.417,8,21,0.381,11,18,0.611,13,26,39,12,3,3,16,19,65,23,56,0.411,17,39,0.436,6,17,0.353,18,23,0.783,5,21,26,14,7,4,6,15,70,122201710,1
4701,memphis,200,23,56,0.411,17,39,0.436,6,17,0.353,18,23,0.783,5,21,26,14,7,4,6,15,70,23,57,0.404,15,36,0.417,8,21,0.381,11,18,0.611,13,26,39,12,3,3,16,19,65,122201710,0
4702,youngstown-state,225,33,72,0.458,21,44,0.477,12,28,0.429,7,8,0.875,8,24,32,17,6,5,8,15,85,37,64,0.578,28,43,0.651,9,21,0.429,11,14,0.786,4,30,34,20,5,2,9,10,94,122201711,1
4703,milwaukee,225,37,64,0.578,28,43,0.651,9,21,0.429,11,14,0.786,4,30,34,20,5,2,9,10,94,33,72,0.458,21,44,0.477,12,28,0.429,7,8,0.875,8,24,32,17,6,5,8,15,85,122201711,0
4704,fairfield,200,17,58,0.293,12,32,0.375,5,26,0.192,10,15,0.667,5,26,31,11,5,4,21,21,49,29,70,0.414,20,49,0.408,9,21,0.429,24,32,0.75,15,38,53,12,11,8,14,16,91,122201712,1
4705,monmouth,200,29,70,0.414,20,49,0.408,9,21,0.429,24,32,0.75,15,38,53,12,11,8,14,16,91,17,58,0.293,12,32,0.375,5,26,0.192,10,15,0.667,5,26,31,11,5,4,21,21,49,122201712,0
4706,detroit-mercy,200,30,69,0.435,23,44,0.523,7,25,0.28,20,21,0.952,11,13,24,11,11,4,13,32,87,30,51,0.588,24,41,0.585,6,10,0.6,35,42,0.833,10,26,36,14,6,4,21,23,101,122201713,1
4707,northern-kentucky,200,30,51,0.588,24,41,0.585,6,10,0.6,35,42,0.833,10,26,36,14,6,4,21,23,101,30,69,0.435,23,44,0.523,7,25,0.28,20,21,0.952,11,13,24,11,11,4,13,32,87,122201713,0
4708,northwestern,200,24,64,0.375,17,40,0.425,7,24,0.292,19,24,0.792,13,23,36,13,5,4,8,23,74,26,57,0.456,18,35,0.514,8,22,0.364,12,23,0.522,11,26,37,12,3,3,13,22,72,122201714,0
4709,ohio-state,200,26,57,0.456,18,35,0.514,8,22,0.364,12,23,0.522,11,26,37,12,3,3,13,22,72,24,64,0.375,17,40,0.425,7,24,0.292,19,24,0.792,13,23,36,13,5,4,8,23,74,122201714,1
4710,george-mason,200,30,64,0.469,25,48,0.521,5,16,0.313,17,24,0.708,11,33,44,10,6,5,15,18,82,26,72,0.361,17,42,0.405,9,30,0.3,16,20,0.8,9,25,34,18,8,0,10,19,77,122201715,0
4711,richmond,200,26,72,0.361,17,42,0.405,9,30,0.3,16,20,0.8,9,25,34,18,8,0,10,19,77,30,64,0.469,25,48,0.521,5,16,0.313,17,24,0.708,11,33,44,10,6,5,15,18,82,122201715,1
4712,st-johns-ny,200,26,62,0.419,21,46,0.457,5,16,0.313,16,23,0.696,9,19,28,10,7,3,9,23,73,32,62,0.516,24,41,0.585,8,21,0.381,14,25,0.56,11,32,43,19,6,2,13,20,86,122201716,1
4713,seton-hall,200,32,62,0.516,24,41,0.585,8,21,0.381,14,25,0.56,11,32,43,19,6,2,13,20,86,26,62,0.419,21,46,0.457,5,16,0.313,16,23,0.696,9,19,28,10,7,3,9,23,73,122201716,0
4714,arizona-state,200,29,57,0.509,20,37,0.541,9,20,0.45,12,14,0.857,5,20,25,11,5,3,14,10,79,33,64,0.516,19,37,0.514,14,27,0.519,2,3,0.667,9,18,27,22,8,7,13,12,82,122201717,1
4715,southern-california,200,33,64,0.516,19,37,0.514,14,27,0.519,2,3,0.667,9,18,27,22,8,7,13,12,82,29,57,0.509,20,37,0.541,9,20,0.45,12,14,0.857,5,20,25,11,5,3,14,10,79,122201717,0
4716,illinois-chicago,200,19,58,0.328,14,42,0.333,5,16,0.313,22,31,0.71,10,22,32,11,3,2,16,23,65,32,59,0.542,26,45,0.578,6,14,0.429,26,30,0.867,5,30,35,13,6,4,8,26,96,122201718,1
4717,valparaiso,200,32,59,0.542,26,45,0.578,6,14,0.429,26,30,0.867,5,30,35,13,6,4,8,26,96,19,58,0.328,14,42,0.333,5,16,0.313,22,31,0.71,10,22,32,11,3,2,16,23,65,122201718,0
4718,la-salle,200,15,53,0.283,8,26,0.308,7,27,0.259,15,17,0.882,11,17,28,9,4,0,16,18,52,35,62,0.565,27,42,0.643,8,20,0.4,12,20,0.6,13,26,39,18,10,4,9,17,90,122201719,1
4719,virginia-commonwealth,200,35,62,0.565,27,42,0.643,8,20,0.4,12,20,0.6,13,26,39,18,10,4,9,17,90,15,53,0.283,8,26,0.308,7,27,0.259,15,17,0.882,11,17,28,9,4,0,16,18,52,122201719,0
